camera_id,camera_model,camera_sensitivity_raw,camera_operating_temperature_raw,camera_data_transfer_interface,camera_case_type,camera_resolution_raw,camera_lens_type,camera_IR_illumination,camera_compression_codec,camera_memory_card_support,camera_audio_inputs_outputs,camera_alarm_inputs_outputs,camera_SATA_quantity_capacity,camera_independent_video_outputs,camera_data_transfer_rate,camera_lightning_protection,camera_power_raw,camera_power_supply_raw,camera_comment,camera_sensitivity_day_x10000,camera_operating_temperature_min,camera_operating_temperature_max,camera_resolution,camera_power_x10,camera_power_supply_poe
46,LTV-3CNB80-F1,"0.01 к (ц, F2.0, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Bullet,8 Mp,FIX 1.68,20,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,"встроенный микрофон, – / –",-,-,-,1x100  Мб/с,True,7 Вт,"12 В (DC) ±25 %, PoE(IEEE802.3af);",Сертификат 969,100,-40,60,8,70,True
47,LTV-3CNB80-M2812,"0.0025 к (ц, F1.6, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Bullet,8 Mp,MTZ 2.8-12,50,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,1/1,1/1,-,-,1x100  Мб/с,True,"10,5 Вт",12В (DC) / PoE (IEEE 802.3af),Сертификат 969,25,-50,60,8,105,True
48,LTV-3CNB20-M2812-HB,"0.0005 к (ц, F1.2, АРУ к.) WDR 120 дБ",-60…+60,RJ45,Bullet,2 Mp,MTZ 2.8-12,80,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,Mic/1,2/1,-,-,1x100  Мб/с,False,12 Вт,"12В (DC) (±25 %), PoE (IEEE802.3af);",Сертификат 969,5,-60,60,2,120,True
49,LTV-3CNB40-M2812-HB,"0.0005 к (ц, F1.2, АРУ к.) WDR 120 дБ",-60…+60,RJ45,Bullet,4 Mp,MTZ 2.8-12,80,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,Mic/1,2/1,-,-,1x100  Мб/с,False,12 Вт,"12В (DC) (±25 %), PoE (IEEE802.3af);",Сертификат 969,5,-60,60,4,120,True
50,LTV-3CNB80-M2812-HB,"0.0005 к (ц, F1.2, АРУ к.) WDR 120 дБ",-60…+60,RJ45,Bullet,8 Mp,MTZ 2.8-12,80,"H.265, H.264, Ultra265, MJPEG",MicroSD,Mic/1,2/1,-,-,1x100  Мб/с,False,12 Вт,"12В (DC) (±25 %), PoE (IEEE802.3af);",Сертификат 969,5,-60,60,8,120,True
51,LTV-3CNM20-F28,"0.001 к (ц, F1.6, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Outdoor dome,2 Mp,FIX 2.8,40,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",MicroSD,"встроенный микрофон, 1 / 1",-,-,-,1x100  Мб/с,False,6 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,10,-40,60,2,60,True
52,LTV-3CND20-F28,"0.001 к (ц, F1.6, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Outdoor dome,2 Mp,FIX 2.8,30,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",MicroSD,1/1,1/1,-,-,1x100  Мб/с,False,5 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,10,-50,60,2,50,True
53,LTV-3CND20-F40,"0.001 к (ц, F1.6, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Outdoor dome,2 Mp,FIX 4.0,30,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",MicroSD,1/1,1/1,-,-,1x100  Мб/с,False,5 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,10,-50,60,2,50,True
54,LTV-3CND20-M2713,"0.0005 к (ц, F1.2, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Outdoor dome,2 Mp,MTZ 2.7-13.5,40,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",MicroSD,"встроенный микрофон, 1 / 1",1/1,-,-,1x100  Мб/с,False,7 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,5,-50,60,2,70,True
55,LTV-3CNM40-F28,"0.003 к (ц, F1.6, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Outdoor dome,4 Mp,FIX 2.8,30,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",MicroSD,"встроенный микрофон, 1 / 1",-,-,-,1x100  Мб/с,False,6 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,30,-40,60,4,60,True
